Username,ProfileLink,DisplayName,Races,Points,Team
promystie,https://www.nitromath.com/racer/promystie,61nowPW,1563,73775,TR1
ashwat255,https://www.nitromath.com/racer/ashwat255,Tarif Retired NT,1376,64809,TR1
t4l4n06,https://www.nitromath.com/racer/t4l4n06,TM4C_NM On TikTok,2140,35436,IM2
ibotalotofraces1,https://www.nitromath.com/racer/ibotalotofraces1,Mr_Benz,5301,28304,IM2
ultra_legend_1234,https://www.nitromath.com/racer/ultra_legend_1234,Cursed Embers,773,27715,IM2
yellowtyper0to100m,https://www.nitromath.com/racer/yellowtyper0to100m,Internet 35k,1061,20196,IM2
cosmicallyr2,https://www.nitromath.com/racer/cosmicallyr2,Genesis Le Cos IV,477,17761,IM2
d2zzzzzz,https://www.nitromath.com/racer/d2zzzzzz,Imfaster,401,13326,X3
callsignbookworm,https://www.nitromath.com/racer/callsignbookworm,C-Bkwrm--JOIN VS,350,10835,X3
9b97df21bf9a4b8ba3c229233ca88ce6,https://www.nitromath.com/racer/9b97df21bf9a4b8ba3c229233ca88ce6,Wild Jagd,326,10676,ML
dodge_hornet_2024,https://www.nitromath.com/racer/dodge_hornet_2024,agentdodge,230,8652,OT
cherry149,https://www.nitromath.com/racer/cherry149,Typing_Cat_NM,288,7663,PIGGY
huracan2012,https://www.nitromath.com/racer/huracan2012,Huracan,219,7004,MATHNL
250fish,https://www.nitromath.com/racer/250fish,250fish,230,6397,MATHNL
prorick173,https://www.nitromath.com/racer/prorick173,hihihi,268,6354,FASZ
oxx_err0r,https://www.nitromath.com/racer/oxx_err0r,oxxerr0r,171,5851,DM8TE
349fd47673c8b4e86cb30cc105fba01f,https://www.nitromath.com/racer/349fd47673c8b4e86cb30cc105fba01f,-PrimeNitro-Alexyboi,222,5636,IM2
d7ebd81a102778a7bb3ea7321f8ac6ff,https://www.nitromath.com/racer/d7ebd81a102778a7bb3ea7321f8ac6ff,SoldToTyping YT,550,4585,NITR0
d1srupti0n2,https://www.nitromath.com/racer/d1srupti0n2,disrupt,108,4369,ETH
haruto0804,https://www.nitromath.com/racer/haruto0804,vSolar,205,4139,MATHNL
9cbd50f8faee2703325078b265254e31,https://www.nitromath.com/racer/9cbd50f8faee2703325078b265254e31,Rhinosarous REX,188,3766,IM2
kamryn234t54345,https://www.nitromath.com/racer/kamryn234t54345,༺Survivor༻,105,3626,FASZ
david123bad,https://www.nitromath.com/racer/david123bad,davidb,980,3444,IM2
aaf5c0fd1e5a8432156c1a679a042074,https://www.nitromath.com/racer/aaf5c0fd1e5a8432156c1a679a042074,panchitojamesishere,153,3440,CRAZZZ
gocartman9,https://www.nitromath.com/racer/gocartman9,ily2justbuzzinaround,121,3293,X3
awrussell,https://www.nitromath.com/racer/awrussell,EAGLES_RULE,122,3292,4MATH
doggoiqnt,https://www.nitromath.com/racer/doggoiqnt,DoggoIQ,86,3240,PNKYPI
nfo_null,https://www.nitromath.com/racer/nfo_null,                                                 ,110,3215,NFO
43ef88f146eec99bc2c1bd9e4e63d4be,https://www.nitromath.com/racer/43ef88f146eec99bc2c1bd9e4e63d4be,Dimond rich,124,3202,COBRAS
shadow_reaper123,https://www.nitromath.com/racer/shadow_reaper123,Gold Comp soon,250,3172,IM2
adudemanbro,https://www.nitromath.com/racer/adudemanbro,Oreo :D,132,3058,OT
ampray,https://www.nitromath.com/racer/ampray,ampray,131,3032,LEGOLF
mtana12,https://www.nitromath.com/racer/mtana12,Koploon Alt,105,3000,APLU5
therealr4d1ant,https://www.nitromath.com/racer/therealr4d1ant,R4d1ant,316,2845,ML
kingyuki_box0,https://www.nitromath.com/racer/kingyuki_box0,Kingyuki_box0,154,2749,IM2
ju7gt,https://www.nitromath.com/racer/ju7gt,JuJu 7k,192,2681,TR1
thefastcakes,https://www.nitromath.com/racer/thefastcakes,thefastcakes,84,2639,LEGOLF
552c1d98cc0d6544eebdac5cb322e275,https://www.nitromath.com/racer/552c1d98cc0d6544eebdac5cb322e275,-swift-,113,2579,J4UP
a8972a0601a6377f48543dd5f2c9bf63,https://www.nitromath.com/racer/a8972a0601a6377f48543dd5f2c9bf63,Sidewalkturtle_Final,201,2408,ETYPEC
ntyperoftheyear,https://www.nitromath.com/racer/ntyperoftheyear,Arentyx YOUTUBE,97,2335,IM2
unithepro,https://www.nitromath.com/racer/unithepro,Jax                                               ,80,2283,X3
sub_2_turtlzed_yt,https://www.nitromath.com/racer/sub_2_turtlzed_yt,Turtlzed YT,130,2280,T2WIN
raestay,https://www.nitromath.com/racer/raestay,Rae                                               ,434,2253,TMS
skipfiveyt,https://www.nitromath.com/racer/skipfiveyt,Smores,1032,2206,TMS
0e1c8049d10fad5f1947ddf1bca0743b,https://www.nitromath.com/racer/0e1c8049d10fad5f1947ddf1bca0743b,TheEvilDead,58,2186,KINGH
peaceabletyping3,https://www.nitromath.com/racer/peaceabletyping3,InfinityAndBeyond,71,2184,FASZ
havenstedfast,https://www.nitromath.com/racer/havenstedfast,Infinity Speed,86,2179,FASZ
chatterbox_cam,https://www.nitromath.com/racer/chatterbox_cam,Chatterbox Cam,83,2163,DKC
33serdyukoleo,https://www.nitromath.com/racer/33serdyukoleo,The Stallion,67,2144,NFL
ppnugget1234,https://www.nitromath.com/racer/ppnugget1234,CyberChicken10K,177,2139,ML
97eb7609e681cd0c032e4c4ecc8b2ed7,https://www.nitromath.com/racer/97eb7609e681cd0c032e4c4ecc8b2ed7,-BlueStar-,77,2128,IM2
monkeyface1212,https://www.nitromath.com/racer/monkeyface1212,friendof jesus,73,2121,WINNR
auburnblaze,https://www.nitromath.com/racer/auburnblaze,auburnblaze,155,2073,CC
a59bb5596aefea522e98cf3a115db63f,https://www.nitromath.com/racer/a59bb5596aefea522e98cf3a115db63f,"john 3,16 look it up",96,2056,IM2
fb1b40659a536d6e7d68de16f49b33b3,https://www.nitromath.com/racer/fb1b40659a536d6e7d68de16f49b33b3,Mgcars_ritch,91,2054,EVSC
30bbba639d4319c0675c347c691e4393,https://www.nitromath.com/racer/30bbba639d4319c0675c347c691e4393,Can I Have Gold Plz,145,2046,IM2
garrettdr,https://www.nitromath.com/racer/garrettdr,LightningSpeed25,113,1922,FASZ
reesedebeast,https://www.nitromath.com/racer/reesedebeast,joinmyteammoney,81,1911,X3
bessyann81,https://www.nitromath.com/racer/bessyann81,CozyIndigoCheetah,94,1899,FUS3
pineycreekkid,https://www.nitromath.com/racer/pineycreekkid,pineycreekkid,93,1837,IM2
wolftechnology,https://www.nitromath.com/racer/wolftechnology,The Wolf,58,1836,ML
95462a37c7fc30f2400d1d990a949f94,https://www.nitromath.com/racer/95462a37c7fc30f2400d1d990a949f94,RIP NITRO TYPE BRO,90,1827,N8TH
tyo90,https://www.nitromath.com/racer/tyo90,✨superjoelzy✨,51,1763,JSTW
118665c6f7068d99d63effed86235956,https://www.nitromath.com/racer/118665c6f7068d99d63effed86235956,WiseMaroonAlpaca,90,1748,IM2
leeasl,https://www.nitromath.com/racer/leeasl,Steph Curr,85,1741,IM2
isaacfirstplace,https://www.nitromath.com/racer/isaacfirstplace,VIKING KING,49,1727,SHIP
087c6850ff31f1dc6367db022cc6477e,https://www.nitromath.com/racer/087c6850ff31f1dc6367db022cc6477e,big boy225,79,1698,BEAST
advarw,https://www.nitromath.com/racer/advarw,NitroType since 2019,67,1626,IM2
amongus135,https://www.nitromath.com/racer/amongus135,amongus135,70,1609,IM2
55257dd9694d4e9f7516dcf37ce206be,https://www.nitromath.com/racer/55257dd9694d4e9f7516dcf37ce206be,THE ALPHA DEMON,74,1599,IM2
de477a32d0e75e2d980566be806956f3,https://www.nitromath.com/racer/de477a32d0e75e2d980566be806956f3,I like to Crash out,54,1593,TMS
drmilletistheog,https://www.nitromath.com/racer/drmilletistheog,-Hypex 16k-,222,1590,R3M1X
n474585shark,https://www.nitromath.com/racer/n474585shark,SHARKSRULE12345,55,1556,NFL881
purdueplayer0,https://www.nitromath.com/racer/purdueplayer0,Purdueplayer,70,1544,GRIFF
drsaben,https://www.nitromath.com/racer/drsaben,topazfox_1282,72,1528,IM2
in1904,https://www.nitromath.com/racer/in1904,GoneViral,457,1520,TMS
041ae92ba4ef7bb27a2c116879e6945f,https://www.nitromath.com/racer/041ae92ba4ef7bb27a2c116879e6945f,Th3_M3Me_M45T3R,57,1446,TOSONT
c78a6a010d7775a5407c4b2afed25f0d,https://www.nitromath.com/racer/c78a6a010d7775a5407c4b2afed25f0d,bro chill,62,1395,BEAST
5396878d06574a7d5e89b019faa711cf,https://www.nitromath.com/racer/5396878d06574a7d5e89b019faa711cf,mickey mouse,67,1363,CONM
scottisawesome14,https://www.nitromath.com/racer/scottisawesome14,PatrioticScott14,62,1361,X3
jaxmeta,https://www.nitromath.com/racer/jaxmeta,JaxMeta,73,1317,IM2
b40b4dc28ccfe48aad00cacca90352c4,https://www.nitromath.com/racer/b40b4dc28ccfe48aad00cacca90352c4,Belico,89,1305,WOLVEZ
losdedos,https://www.nitromath.com/racer/losdedos,Go Eagles,50,1299,LEGOLF
gordo90,https://www.nitromath.com/racer/gordo90,gordo90,48,1280,TOSONT
willkids,https://www.nitromath.com/racer/willkids,For Jesus ONLY,57,1278,SERVNT
1ebd7a58195933f624e90ce4ddae0f67,https://www.nitromath.com/racer/1ebd7a58195933f624e90ce4ddae0f67,EpicPenguinRacer,54,1275,CC
924426af89a142030d09795a46975cdc,https://www.nitromath.com/racer/924426af89a142030d09795a46975cdc,PreciseSapphireGoose,49,1263,X3
d9a5545b0bcaad9a163e8d772be31e84,https://www.nitromath.com/racer/d9a5545b0bcaad9a163e8d772be31e84,Bearer of the Curse,54,1219,IM2
9edcfa3d1244be4a4e4497af8e56d947,https://www.nitromath.com/racer/9edcfa3d1244be4a4e4497af8e56d947,bonanaweeeeeeeeweeee,46,1194,NFL
mseank,https://www.nitromath.com/racer/mseank,mseank,52,1186,LGCS
nincalebgamez,https://www.nitromath.com/racer/nincalebgamez,⚡Nincaleb⚡,47,1166,PNKYPI
90f73e016a232f7891c06cf6d409bba9,https://www.nitromath.com/racer/90f73e016a232f7891c06cf6d409bba9,Nitro Hero,70,1160,SHIP
cfe5c5250ab850d9c0caf47bb80b1914,https://www.nitromath.com/racer/cfe5c5250ab850d9c0caf47bb80b1914,biscuitplayz,58,1150,BAG
sammonq4,https://www.nitromath.com/racer/sammonq4,The Green Ninja,101,1121,4MATH
dafb5cb2699f3b544b69acfeeea0dda2,https://www.nitromath.com/racer/dafb5cb2699f3b544b69acfeeea0dda2,Guyen is the king,52,1121,81BAG
bill_jones,https://www.nitromath.com/racer/bill_jones,Slugcat,45,1101,RISE
c2d365ed6ff5f199c3761e82754e5356,https://www.nitromath.com/racer/c2d365ed6ff5f199c3761e82754e5356,Mango Boy,143,1100,IM2
freebirdalt2,https://www.nitromath.com/racer/freebirdalt2,Nightfall Wolf,235,1100,WOLVEZ
diegaso,https://www.nitromath.com/racer/diegaso,diegaso,50,1088,4MATH
c015d6477d29db3baf640770df81d476,https://www.nitromath.com/racer/c015d6477d29db3baf640770df81d476,Old Skool,63,1078,CC
bryan453678,https://www.nitromath.com/racer/bryan453678,Bryan f,42,1067,NFL
fabio_wibmer,https://www.nitromath.com/racer/fabio_wibmer,Fabiolous Escape,36,1062,ML
imastonecoldtyper,https://www.nitromath.com/racer/imastonecoldtyper,Internet Typer YT,25,1049,TR1
greysonj195,https://www.nitromath.com/racer/greysonj195,Broken Keys 31K,41,1043,SHIP
b0d0f5e82e35e73018ac947b477a25f1,https://www.nitromath.com/racer/b0d0f5e82e35e73018ac947b477a25f1,Chill_Aaron123456789,41,1038,ZOOM
2slow4play,https://www.nitromath.com/racer/2slow4play,2Slow4Race_alt2,43,1007,MATHNL
3c0295d8913c87d35b4e48912b2a13cf,https://www.nitromath.com/racer/3c0295d8913c87d35b4e48912b2a13cf,DOWNSiDE_UP,35,1004,TCLIP
181873,https://www.nitromath.com/racer/181873,EMIRATES,38,981,CC
ppmtjm,https://www.nitromath.com/racer/ppmtjm,Polly P,40,972,SERVNT
dc754820f31cda53784950b971587f07,https://www.nitromath.com/racer/dc754820f31cda53784950b971587f07,Be Positive Always,43,938,NFL881
nono13thelad,https://www.nitromath.com/racer/nono13thelad,-AeroAlpha-,40,935,J4UP
821xofzapot,https://www.nitromath.com/racer/821xofzapot,2821_xofzapot,41,933,WOLVEZ
8e32975106049115697b0d842d691714,https://www.nitromath.com/racer/8e32975106049115697b0d842d691714,SilkyBeigeMacaw,53,932,IM2
53483611943c8b4c9fce20f52c3c1b5f,https://www.nitromath.com/racer/53483611943c8b4c9fce20f52c3c1b5f,King_Of_Typing,47,930,WOLVEZ
fggdhfhrh,https://www.nitromath.com/racer/fggdhfhrh,fggdhfhrh,39,909,DKC
487bd480876ab92f5bc8759f7892d344,https://www.nitromath.com/racer/487bd480876ab92f5bc8759f7892d344,The Mango Master,98,908,IM2
hpwalt,https://www.nitromath.com/racer/hpwalt,"Kings Crossing, ES",52,901,J4UP
sideshow_2,https://www.nitromath.com/racer/sideshow_2,"Ray 1,5k",105,890,TCLIP
typingninja234,https://www.nitromath.com/racer/typingninja234,Gi-Hunplayer456,42,889,49ERSI
6a6388ea5c8f1347760f9d1a97513472,https://www.nitromath.com/racer/6a6388ea5c8f1347760f9d1a97513472,0COOK0,42,877,ETYPEC
614cfded24fb392d378e4cb71058d018,https://www.nitromath.com/racer/614cfded24fb392d378e4cb71058d018,coderedbeasty,40,851,TMS
bull33,https://www.nitromath.com/racer/bull33,Lag Boulevard,34,851,TCLIP
texas_cowboy,https://www.nitromath.com/racer/texas_cowboy,Cowboy,28,833,SHIP
ninecatsare,https://www.nitromath.com/racer/ninecatsare,Basketbalcamp99pines,46,822,JDFU
glvnitro,https://www.nitromath.com/racer/glvnitro,-_-Winn3r-_-,29,810,NITR0
ashaztheking,https://www.nitromath.com/racer/ashaztheking,Ashaztheking,44,804,IM2
sammonq6,https://www.nitromath.com/racer/sammonq6,Elicool200,30,802,4MATH
8ff8a05d818e0186d0e154ea9ab88698,https://www.nitromath.com/racer/8ff8a05d818e0186d0e154ea9ab88698,AquaBlueDamselfly,39,796,BEAST
6b99d68cdc3043312cca2fdbc814d061,https://www.nitromath.com/racer/6b99d68cdc3043312cca2fdbc814d061,LJCCCCCCC,43,792,R3M1X
destroyerhammer,https://www.nitromath.com/racer/destroyerhammer,Destroyerhammer,23,786,4MATH
kingcalpal,https://www.nitromath.com/racer/kingcalpal,Firestar 1k,31,783,LEGOLF
ishan1234567890987,https://www.nitromath.com/racer/ishan1234567890987,ishan1234567890987,46,773,COBRAS
bbfc0363c3b2ff2fae18ac2784f04703,https://www.nitromath.com/racer/bbfc0363c3b2ff2fae18ac2784f04703,DazzlingYellowCondor,54,770,LEGOLF
me_say_hi_to_u,https://www.nitromath.com/racer/me_say_hi_to_u,i_said_hi,31,767,CONM
boogewyler,https://www.nitromath.com/racer/boogewyler,i love jesus,28,762,JE4US
842825373c17ae11234ceacc011473a9,https://www.nitromath.com/racer/842825373c17ae11234ceacc011473a9,Football God,36,760,ETYPEC
8a629400a8fec07bb74569f97cc25790,https://www.nitromath.com/racer/8a629400a8fec07bb74569f97cc25790,userrrrrr,70,756,IM2
type_chip11,https://www.nitromath.com/racer/type_chip11,One of those guys,49,750,WOLVEZ
specialpurple,https://www.nitromath.com/racer/specialpurple,Draky ya,42,743,R3M1X
