Username,ProfileLink,DisplayName,Races,Points,Title,Team
ashwat255,https://www.nitromath.com/racer/ashwat255,Tarifatician,3948,188984,Operation: Typing,TR1
promystie,https://www.nitromath.com/racer/promystie,mystitician,2731,129014,Top Tier,TR1
t4l4n06,https://www.nitromath.com/racer/t4l4n06,-TM4C-,3429,66662,Endurance Racer,NMGDS
ibotalotofraces1,https://www.nitromath.com/racer/ibotalotofraces1,OrangeYellowTrout,9110,43822,Insert Title Here,IMT
ultra_legend_1234,https://www.nitromath.com/racer/ultra_legend_1234,xBursna,1273,43637,League Champion,X3
yellowtyper0to100m,https://www.nitromath.com/racer/yellowtyper0to100m,Congrats PW,1954,32465,Nitro Rich,IMT
cosmicallyr2,https://www.nitromath.com/racer/cosmicallyr2,Bugatti Chiron V2,669,25717,I'm Ready,IMT
callsignbookworm,https://www.nitromath.com/racer/callsignbookworm,SAVE NM--BKWRM,830,24986,Operation: Typing,X3
guest13414,https://www.nitromath.com/racer/guest13414,dancin da night w u,728,23221,Nitro Pup,WL
250fish,https://www.nitromath.com/racer/250fish,Fishyy,736,21394,League Champion,NMGDS
typingteachsz,https://www.nitromath.com/racer/typingteachsz,MRTYPINGTEACHER,790,19314,404 Not Found,WL
pwneedsqueen,https://www.nitromath.com/racer/pwneedsqueen,pwince,3937,15277,Battle Beast,WL
zezede,https://www.nitromath.com/racer/zezede,zephster,334,14694,404 Not Found,NMGDS
ntyperoftheyear,https://www.nitromath.com/racer/ntyperoftheyear,Arentyx YT 4 Jesus,470,14408,Keyboard Cat,IMT
9b97df21bf9a4b8ba3c229233ca88ce6,https://www.nitromath.com/racer/9b97df21bf9a4b8ba3c229233ca88ce6,Wild Jagd,437,14085,League Champion,ML
dodge_hornet_2024,https://www.nitromath.com/racer/dodge_hornet_2024,Dodge Hornet,372,13908,Lightspeed,OT
huracan2012,https://www.nitromath.com/racer/huracan2012,Huracan,386,12435,Extracurricular!,NMGDS
cherry149,https://www.nitromath.com/racer/cherry149,Typing_Cat_NM,434,11922,Tilted Typist,PIGGY
349fd47673c8b4e86cb30cc105fba01f,https://www.nitromath.com/racer/349fd47673c8b4e86cb30cc105fba01f,-Epic- K1ng Alex,566,10087,Nitro Rich,IMT
adudemanbro,https://www.nitromath.com/racer/adudemanbro,Oreo :D,393,9912,Sp3llchekcer,OT
davidh314,https://www.nitromath.com/racer/davidh314,Usain Bolt,381,9645,Nitro Rich,SHIP
