Team,TotalPoints,Races,Members
TR1,221009,4688,7
IMT,200510,18800,40
X3,91501,3226,50
NMGDS,60405,2248,12
WL,54284,9401,46
TOSONT,35681,1791,50
SHIP,32574,1379,46
DVM,27970,1150,2
ML,27698,1595,46
FASZ,25542,1143,40
4MATH,24867,1170,45
OT,19699,707,36
SERVNT,17877,961,50
DM8TE,17531,648,19
CC,17077,1037,50
CRAZZZ,15647,664,39
LEGOLF,15571,614,47
DKC,15238,661,50
GO10,14538,919,23
CF02,14200,560,24
PNKYPI,13832,463,49
COBRAS,12009,592,22
PIGGY,11585,441,9
LORD,10940,532,8
NITR0,10748,1080,45
T2WIN,10677,541,45
NFL881,9931,407,34
TMS,9345,2496,30
FUS3,8810,419,36
NFL,8255,358,12
BEAST,7558,346,40
J4UP,7528,413,21
GRIFF,7082,395,16
HGWRTS,6826,247,16
JDFU,6618,304,36
BAG,6611,346,12
ETH,5942,141,1
WINNR,5942,207,9
A3,5785,327,15
JSTW,5732,179,16
WOLVEZ,5547,704,1
TCLIP,5239,286,44
NFO,5164,187,6
KINGH,4825,192,21
JLFU,4663,274,28
N8TH,4431,200,6
CONM,4310,204,41
BOB151,4297,211,16
APLU5,3879,142,28
WCV,3850,154,26
R3M1X,3573,326,21
JE4US,3368,153,41
HIM32,3040,141,4
EVSC,2915,135,48
TEDDY,2760,162,47
MATH,2495,120,41
LGCS,2455,104,6
PUPBY,2428,141,34
WMDSM,2204,115,30
DORYA,2020,120,43
49ERSI,1893,94,21
TRUST,1878,93,48
NTPD1,1797,88,17
12312B,1753,86,34
RISE,1655,72,26
KINGS,1604,83,49
ZOOM,1565,70,5
404,1448,92,6
VZ,1399,68,44
ALSLUG,1266,69,38
WISD0M,1237,52,10
ERICK,1106,49,27
GOAT,1101,65,43
DRBZZZ,1088,46,8
GHOSTS,1064,56,3
W2V,1023,64,40
HRX,1008,48,35
MATT18,1002,46,36
SAVVEE,974,50,10
GOLD55,814,48,33
ZWINNA,778,36,26
NMCH12,772,44,43
AMATHB,769,51,31
GOATS,693,41,36
SOCER5,660,36,40
EASTER,636,36,48
LGE,558,25,45
ABAMS,474,26,40
ZH,469,77,13
NMV,426,19,8
CR7TW,383,21,21
GOLD,305,19,48
121,282,16,26
KOTGP,265,10,6
PRVBS,245,12,13
NMGS,77,3,11
A298,19,1,7
MAHOU,19,1,6
IM4,5,2,2
UBL,0,0,6
SOW,0,0,4
81BAG,0,0,3
CCFRI,0,0,8
